year,org_code,org_name,unit_main_code,unit_sub_code,unit_name
2016,5040011,Geologian tutkimuskeskus,5040300,5040300,Tulosyksiköt
2016,5040011,Geologian tutkimuskeskus,5040300,504030001,Geoenergia GNR
2016,5040011,Geologian tutkimuskeskus,5040300,504030002,Yhdyskunnat ja rakentaminen YRA
2016,5040011,Geologian tutkimuskeskus,5040300,504030003,Kalliorakentaminen ja sijoituspaikat KAS
2016,5040011,Geologian tutkimuskeskus,5040300,504030004,Ympäristögeologia YMP
2016,5040011,Geologian tutkimuskeskus,5040300,504030005,Merigeologia MRG
2016,5040011,Geologian tutkimuskeskus,5040300,504030006,Mineraalitalous ja malmigeologia MIM
2016,5040011,Geologian tutkimuskeskus,5040300,,
2016,5040011,Geologian tutkimuskeskus,5040300,504030007,Mineraalivarannot MIV
2016,5040011,Geologian tutkimuskeskus,5040300,504030008,Teollisuusmineraalit TMI
2016,5040011,Geologian tutkimuskeskus,5040300,504030009,Mineraalitekniikka ja materiaalit MMA
2016,5040011,Geologian tutkimuskeskus,5040300,504030010,Turvevarannot TUR
2016,5040011,Geologian tutkimuskeskus,5040300,Geologian tutkimuskeskus,5040300
2016,5040011,Geologian tutkimuskeskus,5040300,Geologian tutkimuskeskus,5040300
2016,5040011,Geologian tutkimuskeskus,5040300,Geologian tutkimuskeskus,5040300
2016,5040011,Geologian tutkimuskeskus,5040300,504030011,Pohjavesi PVI
2016,5040011,Geologian tutkimuskeskus,5040300,504030012,Geofysiikan sovellukset GSO
2016,5040011,Geologian tutkimuskeskus,5040300,504030013,Tuotantoympäristöt ja kierrätys TUK
2016,5040011,Geologian tutkimuskeskus,5040300,504030014,Alueellinen geotieto ALG
2016,558005,Geologian tutkimuskeskus,5040300,FIMEA1,
2016,5040011,Geologian tutkimuskeskus,5040300,504030015,Geotietovarannon hallinta GEH
2016,5040011,Geologian tutkimuskeskus,5040300,504030016,Digitaaliset tuotteet ja palvelut DIP
2016,5040011,Geologian tutkimuskeskus,5040200,5040200,Toiminnan johtaminen
2016,5040011,Geologian tutkimuskeskus,5040200,50402003,Strateginen johto
2016,5040011,Geologian tutkimuskeskus,,,
2016,5040011,Geologian tutkimuskeskus,50402003,5040200310,"Henkilöstö, osaaminen ja työympäristöt"
2016,5040011,Geologian tutkimuskeskus,50402003,5040200320,Viestintä ja markkinointi
2016,5040011,Geologian tutkimuskeskus,50402003,5040200330,Strategia ja suunnittelu
2016,5040011,Geologian tutkimuskeskus,50402003,5040200340,Tieteellinen tutkimus
2016,5040011,Geologian tutkimuskeskus,50402003,5040200350,Digitaalisuus ja tietovarannot
2016,4020217,Maanmittauslaitos,,,
2016,404001,Metsäntutkimuslaitos,,MTL,
2016,02022481,Suomen Pankki,,SP1,
2016,7020017,Suomen ympäristökeskus,,SYK1,
2016,5550012,Säteilyturvakeskus,,STK1,
2016,26473754,Teknologiantutkimuskeskus VTT Oy,,VTT1,
2016,26473754,Teknologiantutkimuskeskus VTT Oy,,VTT2,
2016,5610017,Terveyden ja hyvinvoinninlaitos,,THL1,
2016,02202669,Työterveyslaitos,,TTL1,
2016,02202669,Työterveyslaitos,,TTL2,
2016,02202669,Työterveyslaitos,,TTL3,
2016,02202669,Työterveyslaitos,,TTL4,
2016,1120017,Ulkopoliittinen instituutti,,,
2016,3060016,Valtion taloudellinen tutkimuskeskus,,,
